(('1960', '02', '163950'), -13.258620689655176)
(('1960', '02', '167710'), -15.080459770114942)
(('1960', '02', '167980'), -16.22643678160919)
(('1960', '02', '169880'), -14.772413793103446)
(('1960', '02', '172680'), -13.797701149425286)
(('1960', '02', '173810'), -13.417241379310344)
(('1960', '02', '180750'), -13.267816091954023)
(('1960', '02', '180940'), -14.005646630236782)
(('1960', '02', '183760'), -14.517241379310342)
(('1960', '02', '188830'), -14.10258620689655)
(('1960', '02', '192830'), -16.808620689655168)
(('1960', '02', '52230'), -0.6425287356321839)
(('1960', '02', '53200'), -0.7114942528735632)
(('1960', '02', '53260'), -1.2982758620689652)
(('1960', '02', '53360'), -0.1939655172413793)
(('1960', '02', '53370'), -0.9885057471264366)
(('1960', '02', '53650'), -2.254022988505749)
(('1960', '02', '54330'), -0.5885057471264368)
(('1960', '02', '55570'), -0.5379310344827587)
(('1960', '02', '62180'), -2.239999999999997)
(('1960', '02', '62190'), -1.3954022988505752)
(('1960', '02', '62410'), -1.5470909090909102)
(('1960', '02', '63050'), -2.4612345679012355)
(('1960', '02', '63220'), -2.728409090909091)
(('1960', '02', '64020'), -1.534482758620689)
(('1960', '02', '64520'), -3.7827586206896555)
(('1960', '02', '64600'), -0.808620689655172)
(('1960', '02', '65160'), -2.3666061705989136)
(('1960', '02', '65640'), -4.27241379310345)
(('1960', '02', '65730'), -2.360919540229884)
(('1960', '02', '66120'), -1.4172413793103456)
(('1960', '02', '66410'), -3.2627450980392165)
(('1960', '02', '68550'), -1.6146551724137934)
(('1960', '02', '71380'), -2.02183908045977)
(('1960', '02', '71430'), -2.7998185117967327)
(('1960', '02', '71470'), -3.0069343065693412)
(('1960', '02', '72080'), -1.9701149425287363)
(('1960', '02', '73250'), -4.079310344827586)
(('1960', '02', '73430'), -4.93103448275862)
(('1960', '02', '74180'), -4.136641221374046)
(('1960', '02', '74600'), -3.2597701149425284)
(('1960', '02', '75040'), -3.900862068965517)
(('1960', '02', '76470'), -3.6666666666666674)
(('1960', '02', '77220'), -1.641379310344827)
(('1960', '02', '78400'), -2.927063339731285)
(('1960', '02', '79580'), -1.4586206896551723)
(('1960', '02', '81060'), -2.3563218390804597)
(('1960', '02', '81560'), -5.263218390804598)
(('1960', '02', '81620'), -2.332954545454546)
(('1960', '02', '82230'), -5.0540229885057455)
(('1960', '02', '82260'), -4.615249999999997)
(('1960', '02', '82490'), -6.969827586206896)
(('1960', '02', '82650'), -6.604597701149427)
(('1960', '02', '83620'), -4.383908045977014)
(('1960', '02', '83640'), -4.5298850574712635)
(('1960', '02', '84310'), -4.030693069306933)
(('1960', '02', '84580'), -6.1793103448275835)
(('1960', '02', '84620'), -4.864367816091953)
(('1960', '02', '85040'), -5.1000000000000005)
(('1960', '02', '85240'), -5.055454545454545)
(('1960', '02', '85650'), -6.513793103448278)
(('1960', '02', '86370'), -5.545355191256827)
(('1960', '02', '86480'), -4.333211678832118)
(('1960', '02', '87150'), -2.8942528735632194)
(('1960', '02', '87450'), -2.7804597701149425)
(('1960', '02', '89240'), -2.295689655172414)
(('1960', '02', '91620'), -7.198850574712642)
(('1960', '02', '93220'), -6.486352357320102)
(('1960', '02', '93640'), -7.510227272727272)
(('1960', '02', '94170'), -7.08735632183908)
(('1960', '02', '95620'), -6.781739130434784)
(('1960', '02', '96350'), -6.3347985347985345)
(('1960', '02', '97110'), -5.409852216748771)
(('1960', '02', '97200'), -5.3600725952813075)
(('1960', '02', '97260'), -5.498903107861055)
(('1960', '02', '97530'), -6.000246913580248)
(('1960', '02', '97620'), -5.617241379310346)
(('1960', '02', '97630'), -6.654022988505747)
(('1960', '02', '98040'), -4.2590517241379295)
(('1960', '02', '99270'), -3.210344827586205)
(('1960', '02', '99450'), -3.111494252873563)
(('1960', '03', '102190'), -2.279838709677419)
(('1960', '03', '103090'), -1.8087912087912081)
(('1960', '03', '103410'), -3.778225806451614)
(('1960', '03', '105370'), -1.601075268817204)
(('1960', '03', '106100'), -1.7698924731182801)
(('1960', '03', '107400'), -0.1913978494623657)
(('1960', '03', '107440'), -1.6279569892473122)
(('1960', '03', '108170'), -2.0419354838709673)
(('1960', '03', '108320'), -2.083870967741935)
(('1960', '03', '108640'), -2.769354838709678)
(('1960', '03', '113410'), -3.559139784946237)
(('1960', '03', '114010'), -2.0526881720430104)
(('1960', '03', '115230'), -1.125806451612903)
